cohort,module,stratum,metric,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,bootstrap_median,ci_high
MHAS,wealth_within_low_education,all,contribution_pre_disability_mortality,-0.742966769396755,491,-0.699612541224526,0.323111102925426,-1.33910319275108,-0.694301677895517,-0.0815450501116908
MHAS,wealth_within_low_education,all,contribution_recovery,0.00256379656400251,491,-0.0224290232578181,0.229613562695764,-0.463814262432489,-0.023272374562204,0.458837048619839
MHAS,wealth_within_low_education,all,contribution_relapse,0.29488594975481,491,0.311994720287581,0.285544734381172,-0.22441105832259,0.294406226565743,0.89180559917686
MHAS,wealth_within_low_education,all,gap_dfle,-1.06749600790022,491,-1.13042895021805,0.667712528482306,-2.45247729793746,-1.13804266909013,0.17812449098924
MHAS,wealth_within_low_education,all,high_dfle,16.6623093666612,491,16.6900052169243,0.538190114584121,15.5177728602041,16.6774985344961,17.7416212111422
MHAS,wealth_within_low_education,all,low_dfle,15.594813358761,491,15.5595762667062,0.446198562850605,14.688389331971,15.5576804071403,16.4974939034549
MHAS,wealth_within_low_education,all,recovery_relapse_contribution,0.297449746318812,491,0.289565697029762,0.378147743444431,-0.464100853232375,0.274116602870558,1.08019086527411
MHAS,wealth_within_low_education,all,recovery_relapse_percent,-27.8642490573713,491,-37.0286936542341,400.708053110004,-296.326437068911,-21.2679164062428,258.503528612684
CHARLS,recovery_phase,early_recovery,hazard_ratio,0.99197529436485,500,0.997422230146921,0.116763568485673,0.785239882313418,0.996288727995213,1.24920534851973
CHARLS,recovery_phase,early_recovery,log_hazard_ratio,-0.0080570768815385,500,-0.00936309315252351,0.116560237861236,-0.241767979029672,-0.00371818575699138,0.222507289067494
CHARLS,recovery_phase,early_recovery,model_se,0.0818284459752034,500,0.103068895052929,0.0030929396238501,0.0967894057957358,0.103071359610444,0.10875934416229
CHARLS,recovery_phase,sustained_recovery,hazard_ratio,1.21503371987719,500,1.24831523890593,0.189941243749978,0.918543010325892,1.23032513040343,1.66868629921266
CHARLS,recovery_phase,sustained_recovery,log_hazard_ratio,0.19477182939275,500,0.210357340442784,0.151442810211317,-0.0849688327456721,0.207278319177983,0.512034165972487
CHARLS,recovery_phase,sustained_recovery,model_se,0.129157244715891,500,0.164079445632875,0.00700448019745605,0.1516463244631,0.163326563980774,0.179370588101502
CHARLS,recovery_phase,sustained_vs_early_modification,hazard_ratio,1.22486288396443,500,1.26987436505292,0.250286294006787,0.848943356507195,1.24302532409136,1.86498210278033
CHARLS,recovery_phase,sustained_vs_early_modification,log_hazard_ratio,0.202828906274289,500,0.219720433595308,0.196622937257184,-0.16376506445947,0.217548183586867,0.623249407588504
CHARLS,recovery_phase,sustained_vs_early_modification,model_se,0.152514391342708,500,0.193251968228445,0.00593688994909259,0.18282743680372,0.192688759401423,0.205502471821481
ELSA,recovery_phase,early_recovery,hazard_ratio,1.55929047315183,500,1.55371037251987,0.136537738801712,1.29712978501628,1.54027250735711,1.86909475614525
ELSA,recovery_phase,early_recovery,log_hazard_ratio,0.44423089289455,500,0.436835824566551,0.087228685575289,0.260153939124979,0.431959343410184,0.625443036381276
ELSA,recovery_phase,early_recovery,model_se,0.0743952179551363,500,0.093718334499084,0.00206088744053742,0.0899979191596903,0.093713550315413,0.0978774003241841
ELSA,recovery_phase,sustained_recovery,hazard_ratio,1.51065959878931,500,1.49750477143489,0.140351674338945,1.23867688762763,1.49861712371363,1.82152390035878
ELSA,recovery_phase,sustained_recovery,log_hazard_ratio,0.412546375838851,500,0.399424756269105,0.0937003901857399,0.214043163613209,0.404542747076434,0.599671626646234
ELSA,recovery_phase,sustained_recovery,model_se,0.0871839229725064,500,0.109839213662881,0.00243501405267348,0.105037674035823,0.109830527791122,0.114783619916864
ELSA,recovery_phase,sustained_vs_early_modification,hazard_ratio,0.968812177589838,500,0.971583588566504,0.127827084295415,0.74569802894258,0.963482458339789,1.26199240087437
