cohort_a,cohort_b,contrast,module,stratum,metric,point_a,point_b,point_difference,paired_valid_replicates,minimum_paired_valid_required,paired_validity_gate,bootstrap_mean_difference,bootstrap_sd_difference,ci_low,bootstrap_median_difference,ci_high,interval_excludes_zero
ELSA,MHAS,ELSA_minus_MHAS,wealth_within_low_education,all,contribution_post_disability_mortality,-0.507983446343511,-0.0191594685400631,-0.488823977803448,491,450,TRUE,-0.47026903984095,0.221700995470276,-0.952750656433834,-0.468168701080706,-0.042980429207568,TRUE
ELSA,MHAS,ELSA_minus_MHAS,wealth_within_low_education,all,contribution_pre_disability_mortality,-0.972409194065061,-0.742966769396755,-0.229442424668306,491,450,TRUE,-0.349123803741672,0.466722335785487,-1.2703667934023,-0.361937303903204,0.573705178669043,FALSE
ELSA,MHAS,ELSA_minus_MHAS,wealth_within_low_education,all,contribution_recovery,-0.758586271122962,0.00256379656400251,-0.761150067686964,491,450,TRUE,-0.770812249854511,0.30949968846961,-1.39110635806467,-0.752066410777202,-0.180368942811344,TRUE
ELSA,MHAS,ELSA_minus_MHAS,wealth_within_low_education,all,contribution_relapse,-0.524367838059076,0.29488594975481,-0.819253787813886,491,450,TRUE,-0.833051907183744,0.326935193829486,-1.47118122134203,-0.809616154471825,-0.218582968038108,TRUE
ELSA,MHAS,ELSA_minus_MHAS,wealth_within_low_education,all,gap_dfle,-5.33052129944052,-1.06749600790022,-4.2630252915403,491,450,TRUE,-4.2732591097648,0.860630273581053,-5.9762538334005,-4.32714708924745,-2.60271819187148,TRUE
ELSA,MHAS,ELSA_minus_MHAS,wealth_within_low_education,all,recovery_relapse_contribution,-1.28295410918204,0.297449746318812,-1.58040385550085,491,450,TRUE,-1.60386415703825,0.472358191694165,-2.58960133763199,-1.57416408875006,-0.748213950100883,TRUE
HRS,MHAS,HRS_minus_MHAS,wealth_within_low_education,all,contribution_onset,-1.70484485848213,-0.602819516282208,-1.10202534219992,491,450,TRUE,-0.995891266210558,0.560134603786349,-2.09442077144946,-0.984763141259092,0.144171750863755,FALSE
HRS,MHAS,HRS_minus_MHAS,wealth_within_low_education,all,contribution_post_disability_mortality,-0.150429719749276,-0.0191594685400631,-0.131270251209213,491,450,TRUE,-0.120142665532393,0.197699731268332,-0.547839323183841,-0.117363944986154,0.226857286268792,FALSE
HRS,MHAS,HRS_minus_MHAS,wealth_within_low_education,all,contribution_pre_disability_mortality,-1.02096267221175,-0.742966769396755,-0.277995902814995,491,450,TRUE,-0.297002486299844,0.428118700441648,-1.08157011177534,-0.321812026402672,0.524804303904659,FALSE
HRS,MHAS,HRS_minus_MHAS,wealth_within_low_education,all,contribution_recovery,-0.622809546944918,0.00256379656400251,-0.625373343508921,491,450,TRUE,-0.627631697232924,0.325814777501644,-1.23380993014689,-0.631967750988851,0.00375111389028706,FALSE
HRS,MHAS,HRS_minus_MHAS,wealth_within_low_education,all,contribution_relapse,-0.18521408905518,0.29488594975481,-0.48010003880999,491,450,TRUE,-0.495372947913974,0.311221165242434,-1.12661273997184,-0.486964693062451,0.144101230261679,FALSE
HRS,MHAS,HRS_minus_MHAS,wealth_within_low_education,all,gap_dfle,-3.68426088644325,-1.06749600790022,-2.61676487854303,491,450,TRUE,-2.53604106318969,0.823562352829337,-4.2268360993329,-2.52259551480884,-0.933126677528313,TRUE
HRS,MHAS,HRS_minus_MHAS,wealth_within_low_education,all,recovery_relapse_contribution,-0.808023636000098,0.297449746318812,-1.10547338231891,491,450,TRUE,-1.1230046451469,0.459147391565906,-2.01914420847375,-1.11669266911917,-0.176810266379327,TRUE
