sensitivity,cohort,exposure,ses,V5
exclude_pandemic_crossing,ELSA,wealth,low,0.00472642215600338
exclude_pandemic_crossing,HRS,education,high,1.92650311524144
exclude_pandemic_crossing,HRS,education,high,1.89071823767582
exclude_pandemic_crossing,HRS,education,high,0.0357848775656153
exclude_pandemic_crossing,HRS,education,high,1.10543678016537e-60
exclude_pandemic_crossing,HRS,education,low,1.24712458228214
exclude_pandemic_crossing,HRS,education,low,1.20757320325503
exclude_pandemic_crossing,HRS,education,low,0.0395513790271077
exclude_pandemic_crossing,HRS,education,low,1.6568298430877e-75
exclude_pandemic_crossing,HRS,wealth,high,1.43991204070945
exclude_pandemic_crossing,HRS,wealth,high,1.41466552423981
exclude_pandemic_crossing,HRS,wealth,high,0.0252465164696396
exclude_pandemic_crossing,HRS,wealth,high,2.19242823854557e-71
exclude_pandemic_crossing,HRS,wealth,low,0.863190089816451
exclude_pandemic_crossing,HRS,wealth,low,0.83915552421778
exclude_pandemic_crossing,HRS,wealth,low,0.0240345655986717
exclude_pandemic_crossing,HRS,wealth,low,7.56405726234603e-89
exclude_pandemic_crossing,MHAS,education,high,1.64480227964355
exclude_pandemic_crossing,MHAS,education,high,1.6207071176758
exclude_pandemic_crossing,MHAS,education,high,0.0240951619677534
exclude_pandemic_crossing,MHAS,education,high,7.23157760686832e-61
exclude_pandemic_crossing,MHAS,education,low,1.98066541675288
exclude_pandemic_crossing,MHAS,education,low,1.90475232588394
exclude_pandemic_crossing,MHAS,education,low,0.0759130908689432
exclude_pandemic_crossing,MHAS,education,low,1.86380995330672e-55
exclude_pandemic_crossing,MHAS,wealth,high,1.69087174007979
exclude_pandemic_crossing,MHAS,wealth,high,1.64060491222742
exclude_pandemic_crossing,MHAS,wealth,high,0.0502668278523725
exclude_pandemic_crossing,MHAS,wealth,high,8.68210783170543e-58
exclude_pandemic_crossing,MHAS,wealth,low,1.39078690877468
exclude_pandemic_crossing,MHAS,wealth,low,1.33864069403963
exclude_pandemic_crossing,MHAS,wealth,low,0.0521462147350445
exclude_pandemic_crossing,MHAS,wealth,low,6.25838499503903e-65
pre_pandemic_end_before_2020,CHARLS,education,high,15.3212241598106
pre_pandemic_end_before_2020,CHARLS,education,high,14.5754651066687
pre_pandemic_end_before_2020,CHARLS,education,high,0.745759053141847
pre_pandemic_end_before_2020,CHARLS,education,high,0.0177566805840881
pre_pandemic_end_before_2020,CHARLS,education,low,9.11709416635108
pre_pandemic_end_before_2020,CHARLS,education,low,8.27734770140543
pre_pandemic_end_before_2020,CHARLS,education,low,0.839746464945656
