cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,sensitivity
ELSA,education,death_pre,18081,6975,489,7191,278,2761,52,TRUE,7,5.10469620192027,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
ELSA,education,onset,29415,8361,2552,9278,1130,5725,313,TRUE,6,3.48587463426976,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
ELSA,education,recovery,10797,4784,2947,5743,1334,990,336,TRUE,5,2.62970283972134,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
ELSA,education,relapse,5548,2384,1640,2161,777,748,163,TRUE,6,1.825807903662,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
ELSA,wealth,death_post,11018,4448,1044,4380,514,2949,229,TRUE,6,3.79878747536161,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
ELSA,wealth,death_pre,19806,7614,550,4439,178,8545,174,TRUE,7,5.10188335475618,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
ELSA,wealth,onset,31934,9040,2792,6504,862,14523,947,TRUE,6,3.37220750032683,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
ELSA,wealth,recovery,11900,5227,3257,4841,1117,3112,1013,TRUE,5,2.68775945263463,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
ELSA,wealth,relapse,6110,2633,1817,1886,660,2046,519,TRUE,6,2.11665838328328,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
HRS,education,death_post,53707,15314,3418,17704,1275,7302,416,TRUE,6,4.12515146983632,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
HRS,education,death_pre,99972,23100,1902,18552,513,23380,315,TRUE,8,6.84101231146167,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
HRS,education,onset,89399,21083,7637,16126,2164,21212,1261,TRUE,6,3.28928289069947,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
HRS,education,recovery,28973,12748,7326,10581,2177,3535,1096,TRUE,6,2.60422721882878,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
HRS,education,relapse,17945,6590,4794,4689,1497,2855,630,TRUE,5,2.07257497365282,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
HRS,wealth,death_post,53709,15315,3419,24525,1523,12865,847,TRUE,6,4.24313155077509,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
HRS,wealth,death_pre,100001,23107,1903,26299,657,39321,617,TRUE,8,6.7839967545906,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
HRS,wealth,onset,89423,21088,7638,23513,2682,35217,2377,TRUE,6,3.24549113292665,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
HRS,wealth,recovery,28975,12749,7326,14027,3143,6438,1905,TRUE,6,2.50372353005636,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
HRS,wealth,relapse,17945,6590,4794,7492,2204,4700,1134,TRUE,5,1.95165518133812,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
MHAS,education,death_post,4988,4005,879,4735,845,184,23,TRUE,7,4.54548351517236,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
MHAS,education,death_pre,12682,9715,718,11192,639,1174,58,TRUE,6,5.66807283319805,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
MHAS,education,onset,10997,8528,1450,9818,1363,933,68,TRUE,17,16.547113382376,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
MHAS,education,recovery,3427,2942,1016,3284,959,108,41,TRUE,18,18.8119490108447,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
MHAS,education,relapse,1034,945,330,972,318,41,7,TRUE,17,20.6822866497896,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
MHAS,wealth,death_post,5006,4023,882,1597,294,1648,275,TRUE,7,4.33555893759712,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
MHAS,wealth,death_pre,12743,9771,722,3419,198,4897,267,TRUE,7,5.92770222186862,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
MHAS,wealth,onset,11039,8568,1452,3001,459,4164,476,TRUE,17,16.5626788026186,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
MHAS,wealth,recovery,3443,2958,1024,1113,338,1113,331,TRUE,18,18.8357972099141,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
MHAS,wealth,relapse,1037,948,332,350,123,317,103,TRUE,17,20.1084827322437,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
CHARLS,education,death_post,16228,7173,1419,15573,1370,120,15,TRUE,6,4.82973585695788,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
CHARLS,education,death_pre,16621,7788,505,14926,470,384,12,TRUE,7,5.97435332929354,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
CHARLS,education,onset,16274,7621,3090,14631,2927,369,40,TRUE,5,2.93721590824041,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
CHARLS,education,recovery,11421,6404,3598,10980,3442,85,33,TRUE,6,3.13717080407486,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
CHARLS,education,relapse,4483,3088,1654,4281,1593,30,9,TRUE,5,1.64655665460531,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
CHARLS,wealth,death_post,12993,5440,527,5795,275,2759,104,TRUE,21,24.4356272633216,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
CHARLS,wealth,death_pre,14052,6192,200,4277,63,4908,65,TRUE,22,25.3356717779409,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
CHARLS,wealth,onset,13845,6109,2542,4216,1007,4829,652,TRUE,5,2.45613918567109,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
CHARLS,wealth,recovery,8884,4857,3088,4110,1304,1798,707,TRUE,5,2.06197443238401,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
CHARLS,wealth,relapse,3940,2674,1462,1595,625,932,308,TRUE,5,1.3305919074842,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
ELSA,education,death_post,9652,3968,859,5471,578,778,55,TRUE,6,4.48722004062063,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
ELSA,education,death_pre,17937,6935,483,7115,274,2748,52,TRUE,7,5.88483360222521,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
ELSA,education,onset,31265,8386,2738,9639,1181,6236,357,TRUE,6,3.53914330236311,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
ELSA,education,recovery,11125,4832,3092,5816,1374,1036,360,TRUE,5,2.29393039297991,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
ELSA,education,relapse,6014,2437,1790,2267,826,831,180,TRUE,6,2.0615793180096,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
ELSA,wealth,death_post,10651,4344,927,4232,470,2848,192,TRUE,6,4.73557576045288,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
ELSA,wealth,death_pre,19651,7572,543,4409,177,8485,172,TRUE,7,6.04987925329415,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
ELSA,wealth,onset,33921,9067,3001,6885,913,15482,1042,TRUE,6,3.53830643855067,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
ELSA,wealth,recovery,12252,5283,3417,4989,1169,3201,1074,TRUE,5,2.6642306582841,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
ELSA,wealth,relapse,6630,2690,1990,2040,725,2244,577,TRUE,6,2.02249683002917,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
HRS,education,death_post,51217,14731,4735,16121,1716,7120,553,TRUE,6,3.98431496907909,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
HRS,education,death_pre,97445,22686,3172,17576,850,23005,522,TRUE,7,5.85647541947794,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
HRS,education,onset,90720,21082,8206,16160,2272,21609,1377,TRUE,6,3.39938294988848,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
HRS,education,recovery,27742,12143,7464,9696,2192,3475,1119,TRUE,5,2.32682899370447,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
HRS,education,relapse,18449,6697,5032,4717,1532,2963,676,TRUE,5,1.99408520675257,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
HRS,wealth,death_post,51219,14732,4736,23341,2179,12209,1108,TRUE,6,4.05284127786032,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
HRS,wealth,death_pre,97474,22694,3175,25680,1071,38244,1026,TRUE,7,5.86448819151697,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
HRS,wealth,onset,90745,21087,8207,23854,2847,35708,2577,TRUE,6,3.44502134813777,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
HRS,wealth,recovery,27744,12144,7464,13452,3198,6101,1928,TRUE,5,2.4204775829333,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
HRS,wealth,relapse,18449,6697,5032,7665,2284,4835,1200,TRUE,5,1.970610112972,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
MHAS,education,death_post,9310,5417,1230,8803,1180,363,33,TRUE,7,4.14715350191976,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
MHAS,education,death_pre,20346,11520,994,17809,897,1984,73,TRUE,7,5.35122685756376,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
MHAS,education,onset,17780,10285,2387,15663,2223,1661,125,TRUE,17,16.7537929609209,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
MHAS,education,recovery,5768,4220,1901,5510,1793,190,78,TRUE,17,18.0127422980274,1,non-integer #successes in a binomial glm!,exclude_explicit_proxy
