cohort,exposure,process,term,estimate,hazard_ratio,sensitivity
ELSA,education,death_post,origin_factorR1,-0.561776998170701,0.57019492771316,primary_reproduction
ELSA,education,death_post,period_factor2,-0.102170702962857,0.902875415005026,primary_reproduction
ELSA,education,death_post,period_factor3,-0.112690585594091,0.893427056555217,primary_reproduction
ELSA,education,death_post,period_factor4,-0.0678285557256704,0.93442066091735,primary_reproduction
ELSA,education,death_post,period_factor5,-0.324985093295924,0.722538124223796,primary_reproduction
ELSA,education,death_post,proxy_factorself,-0.813828201718456,0.443158315379745,primary_reproduction
ELSA,education,death_post,seslow,0.317250595488997,1.37334668329094,primary_reproduction
ELSA,education,death_post,sesmiddle,0.0932631299430748,1.09775054830802,primary_reproduction
ELSA,education,death_post,sex_factormale,0.557845538615962,1.74690480413344,primary_reproduction
ELSA,education,death_pre,(Intercept),-5.10193202147298,0.00608497889159553,primary_reproduction
ELSA,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.97666737755769,7.21864583300251,primary_reproduction
ELSA,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",3.06578044594574,21.4511969556584,primary_reproduction
ELSA,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.85360817425877,47.1629286604172,primary_reproduction
ELSA,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.23591243506461,9.35501380180241,primary_reproduction
ELSA,education,death_pre,period_factor2,-0.105160180795395,0.90018031943772,primary_reproduction
ELSA,education,death_pre,period_factor3,-0.157729523920651,0.854080759145354,primary_reproduction
ELSA,education,death_pre,period_factor4,-0.153934424692283,0.85732823873126,primary_reproduction
ELSA,education,death_pre,period_factor5,-0.701394479315013,0.49589330845586,primary_reproduction
ELSA,education,death_pre,proxy_factorself,-0.760312040978414,0.467520518686326,primary_reproduction
ELSA,education,death_pre,seslow,0.346512162716125,1.4141266933473,primary_reproduction
ELSA,education,death_pre,sesmiddle,-0.0862571480781202,0.917358303962519,primary_reproduction
ELSA,education,death_pre,sex_factormale,0.554104182629023,1.74038122251607,primary_reproduction
