age,origin_state,destination,annual_probability,cohort,exposure,ses
70,D1,DEAD,0.0254040909080634,CHARLS,education,high
70,R1,DEAD,0.0108255073502456,CHARLS,education,high
70,D2,DEAD,0.0137296945381585,CHARLS,education,high
70,DEAD,DEAD,1,CHARLS,education,high
71,I0,I0,0.940939735321689,CHARLS,education,high
71,D1,I0,0,CHARLS,education,high
71,R1,I0,0,CHARLS,education,high
71,D2,I0,0,CHARLS,education,high
71,DEAD,I0,0,CHARLS,education,high
71,I0,D1,0.0457128717166476,CHARLS,education,high
71,D1,D1,0.76237495949134,CHARLS,education,high
71,R1,D1,0,CHARLS,education,high
71,D2,D1,0,CHARLS,education,high
71,DEAD,D1,0,CHARLS,education,high
71,I0,R1,0,CHARLS,education,high
71,D1,R1,0.209597227030135,CHARLS,education,high
71,R1,R1,0.854403951341016,CHARLS,education,high
71,D2,R1,0.236542154476224,CHARLS,education,high
71,DEAD,R1,0,CHARLS,education,high
71,I0,D2,0,CHARLS,education,high
71,D1,D2,0,CHARLS,education,high
71,R1,D2,0.133737792728428,CHARLS,education,high
71,D2,D2,0.748289089901537,CHARLS,education,high
71,DEAD,D2,0,CHARLS,education,high
71,I0,DEAD,0.0133473929616639,CHARLS,education,high
71,D1,DEAD,0.0280278134785256,CHARLS,education,high
71,R1,DEAD,0.0118582559305562,CHARLS,education,high
71,D2,DEAD,0.0151687556222388,CHARLS,education,high
71,DEAD,DEAD,1,CHARLS,education,high
72,I0,I0,0.937723531687412,CHARLS,education,high
72,D1,I0,0,CHARLS,education,high
72,R1,I0,0,CHARLS,education,high
72,D2,I0,0,CHARLS,education,high
72,DEAD,I0,0,CHARLS,education,high
72,I0,D1,0.0477653962880628,CHARLS,education,high
72,D1,D1,0.769293128740558,CHARLS,education,high
72,R1,D1,0,CHARLS,education,high
72,D2,D1,0,CHARLS,education,high
72,DEAD,D1,0,CHARLS,education,high
72,I0,R1,0,CHARLS,education,high
72,D1,R1,0.199697931767667,CHARLS,education,high
72,R1,R1,0.848716039095701,CHARLS,education,high
72,D2,R1,0.225708926678829,CHARLS,education,high
72,DEAD,R1,0,CHARLS,education,high
72,I0,D2,0,CHARLS,education,high
72,D1,D2,0,CHARLS,education,high
72,R1,D2,0.13826331791725,CHARLS,education,high
72,D2,D2,0.75748370170226,CHARLS,education,high
72,DEAD,D2,0,CHARLS,education,high
72,I0,DEAD,0.0145110720245248,CHARLS,education,high
72,D1,DEAD,0.0310089394917749,CHARLS,education,high
72,R1,DEAD,0.0130206429870496,CHARLS,education,high
72,D2,DEAD,0.0168073716189115,CHARLS,education,high
72,DEAD,DEAD,1,CHARLS,education,high
73,I0,I0,0.934317322964886,CHARLS,education,high
73,D1,I0,0,CHARLS,education,high
73,R1,I0,0,CHARLS,education,high
73,D2,I0,0,CHARLS,education,high
73,DEAD,I0,0,CHARLS,education,high
73,I0,D1,0.0499858274066178,CHARLS,education,high
73,D1,D1,0.776099290326007,CHARLS,education,high
73,R1,D1,0,CHARLS,education,high
73,D2,D1,0,CHARLS,education,high
73,DEAD,D1,0,CHARLS,education,high
73,I0,R1,0,CHARLS,education,high
73,D1,R1,0.189510379172509,CHARLS,education,high
73,R1,R1,0.842509483480693,CHARLS,education,high
73,D2,R1,0.214540391340309,CHARLS,education,high
73,DEAD,R1,0,CHARLS,education,high
73,I0,D2,0,CHARLS,education,high
73,D1,D2,0,CHARLS,education,high
73,R1,D2,0.143161974941009,CHARLS,education,high
73,D2,D2,0.766789358460241,CHARLS,education,high
73,DEAD,D2,0,CHARLS,education,high
73,I0,DEAD,0.0156968496284962,CHARLS,education,high
73,D1,DEAD,0.0343903305014842,CHARLS,education,high
