cohort,concept,n_variables,variables,available
HRS,death,284,r10dadage;r10deptho;r10momage;r10penic1;r10penic2;r11dadage;r11deptho;r11momage;r11penic1;r11penic2;r12dadage;r12deptho;r12momage;r12penic1;r12penic2;r13dadage;r13deptho;r13momage;r13penic1;r13penic2;r14dadage;r14deptho;r14momage;r14penic1;r14penic2;r15dadage;r15deptho;r15momage;r15penic1;r15penic2;r16dadage;r16deptho;r16momage;r16penic1;r16penic2;r1dadage;r1momage;r2dadage;r2momage;r2penic1;r2penic2;r3dadage;r3deptho;r3momage;r3penic1;r3penic2;r4dadage;r4deptho;r4momage;r4penic1;r4penic2;r5dadage;r5deptho;r5momage;r5penic1;r5penic2;r6dadage;r6deptho;r6momage;r6penic1;r6penic2;r7dadage;r7deptho;r7momage;r7penic1;r7penic2;r8dadage;r8deptho;r8momage;r8penic1;r8penic2;r9dadage;r9deptho;r9momage;r9penic1;r9penic2;radage_m;radage_y;raddate;radmonth;radsrc;radtimtdth;radyear;rebedrid;recendiv;recenreg;regovmdd;rehosp;rehspnit;rehsptim;renhmday;renhmliv;repldeath;reprmem;ret2death;rexpdeath;s10dadage;s10dage_m;s10dage_y;s10ddate;s10deptho;s10dmonth;s10dsrc;s10dtimtdth;s10dyear;s10momage;s10penic1;s10penic2;s11dadage;s11dage_m;s11dage_y;s11ddate;s11deptho;s11dmonth;s11dsrc;s11dtimtdth;s11dyear;s11momage;s11penic1;s11penic2;s12dadage;s12dage_m;s12dage_y;s12ddate;s12deptho;s12dmonth;s12dsrc;s12dtimtdth;s12dyear;s12momage;s12penic1;s12penic2;s13dadage;s13dage_m;s13dage_y;s13ddate;s13deptho;s13dmonth;s13dsrc;s13dtimtdth;s13dyear;s13momage;s13penic1;s13penic2;s14dadage;s14dage_m;s14dage_y;s14ddate;s14deptho;s14dmonth;s14dsrc;s14dtimtdth;s14dyear;s14momage;s14penic1;s14penic2;s15dadage;s15dage_m;s15dage_y;s15ddate;s15deptho;s15dmonth;s15dsrc;s15dtimtdth;s15dyear;s15momage;s15penic1;s15penic2;s16dadage;s16dage_m;s16dage_y;s16ddate;s16deptho;s16dmonth;s16dsrc;s16dtimtdth;s16dyear;s16momage;s16penic1;s16penic2;s1dadage;s1dage_m;s1dage_y;s1ddate;s1dmonth;s1dsrc;s1dtimtdth;s1dyear;s1momage;s2dadage;s2dage_m;s2dage_y;s2ddate;s2dmonth;s2dsrc;s2dtimtdth;s2dyear;s2momage;s2penic1;s2penic2;s3dadage;s3dage_m;s3dage_y;s3ddate;s3deptho;s3dmonth;s3dsrc;s3dtimtdth;s3dyear;s3momage;s3penic1;s3penic2;s4dadage;s4dage_m;s4dage_y;s4ddate;s4deptho;s4dmonth;s4dsrc;s4dtimtdth;s4dyear;s4momage;s4penic1;s4penic2;s5dadage;s5dage_m;s5dage_y;s5ddate;s5deptho;s5dmonth;s5dsrc;s5dtimtdth;s5dyear;s5momage;s5penic1;s5penic2;s6dadage;s6dage_m;s6dage_y;s6ddate;s6deptho;s6dmonth;s6dsrc;s6dtimtdth;s6dyear;s6momage;s6penic1;s6penic2;s7dadage;s7dage_m;s7dage_y;s7ddate;s7deptho;s7dmonth;s7dsrc;s7dtimtdth;s7dyear;s7momage;s7penic1;s7penic2;s8dadage;s8dage_m;s8dage_y;s8ddate;s8deptho;s8dmonth;s8dsrc;s8dtimtdth;s8dyear;s8momage;s8penic1;s8penic2;s9dadage;s9dage_m;s9dage_y;s9ddate;s9deptho;s9dmonth;s9dsrc;s9dtimtdth;s9dyear;s9momage;s9penic1;s9penic2,TRUE
MHAS,person_id,1,rahhidnp,TRUE
MHAS,in_wave,6,inw1;inw2;inw3;inw4;inw5;inw6,TRUE
MHAS,interview_status,12,r1iwstat;r2iwstat;r3iwstat;r4iwstat;r5iwstat;r6iwstat;s1iwstat;s2iwstat;s3iwstat;s4iwstat;s5iwstat;s6iwstat,TRUE
MHAS,interview_time,36,r1iwf;r1iwm;r1iwy;r2iwf;r2iwm;r2iwy;r3iwf;r3iwm;r3iwy;r4iwf;r4iwm;r4iwy;r5iwf;r5iwm;r5iwy;r6iwf;r6iwm;r6iwy;s1iwf;s1iwm;s1iwy;s2iwf;s2iwm;s2iwy;s3iwf;s3iwm;s3iwy;s4iwf;s4iwm;s4iwy;s5iwf;s5iwm;s5iwy;s6iwf;s6iwm;s6iwy,TRUE
MHAS,age,6,r1agey;r2agey;r3agey;r4agey;r5agey;r6agey,TRUE
MHAS,sex,1,ragender,TRUE
MHAS,education,8,raeducl;raedyrs;s1edyrs;s2edyrs;s3edyrs;s4edyrs;s5edyrs;s6edyrs,TRUE
MHAS,adl_count,18,r1adla;r1adlfive;r1adlfivea;r2adla;r2adlfive;r2adlfivea;r3adla;r3adlfive;r3adlfivea;r4adla;r4adlfive;r4adlfivea;r5adla;r5adlfive;r5adlfivea;r6adla;r6adlfive;r6adlfivea,TRUE
MHAS,iadl_count,6,r1iadlfoura;r2iadlfoura;r3iadlfoura;r4iadlfoura;r5iadlfoura;r6iadlfoura,TRUE
MHAS,adl_item,156,r1bath;r1batha;r1bed;r1beda;r1breath_m;r1dress;r1dressa;r1eat;r1eata;r1toilt;r1toilta;r1walkr;r1walkra;r2bath;r2batha;r2bed;r2beda;r2breath_m;r2dress;r2dressa;r2eat;r2eata;r2toilt;r2toilta;r2walkr;r2walkra;r3bath;r3batha;r3bed;r3beda;r3breath_m;r3dress;r3dressa;r3eat;r3eata;r3toilt;r3toilta;r3walkr;r3walkra;r4bath;r4batha;r4bed;r4beda;r4breath_m;r4dress;r4dressa;r4eat;r4eata;r4toilt;r4toilta;r4walkr;r4walkra;r5bath;r5batha;r5bed;r5beda;r5breath_m;r5dress;r5dressa;r5eat;r5eata;r5toilt;r5toilta;r5walkr;r5walkra;r6bath;r6batha;r6bed;r6beda;r6breath_m;r6dress;r6dressa;r6eat;r6eata;r6toilt;r6toilta;r6walkr;r6walkra;s1bath;s1batha;s1bed;s1beda;s1breath_m;s1dress;s1dressa;s1eat;s1eata;s1toilt;s1toilta;s1walkr;s1walkra;s2bath;s2batha;s2bed;s2beda;s2breath_m;s2dress;s2dressa;s2eat;s2eata;s2toilt;s2toilta;s2walkr;s2walkra;s3bath;s3batha;s3bed;s3beda;s3breath_m;s3dress;s3dressa;s3eat;s3eata;s3toilt;s3toilta;s3walkr;s3walkra;s4bath;s4batha;s4bed;s4beda;s4breath_m;s4dress;s4dressa;s4eat;s4eata;s4toilt;s4toilta;s4walkr;s4walkra;s5bath;s5batha;s5bed;s5beda;s5breath_m;s5dress;s5dressa;s5eat;s5eata;s5toilt;s5toilta;s5walkr;s5walkra;s6bath;s6batha;s6bed;s6beda;s6breath_m;s6dress;s6dressa;s6eat;s6eata;s6toilt;s6toilta;s6walkr;s6walkra,TRUE
MHAS,iadl_item,96,r1meals;r1mealsa;r1meds;r1medsa;r1money;r1moneya;r1shop;r1shopa;r2meals;r2mealsa;r2meds;r2medsa;r2money;r2moneya;r2shop;r2shopa;r3meals;r3mealsa;r3meds;r3medsa;r3money;r3moneya;r3shop;r3shopa;r4meals;r4mealsa;r4meds;r4medsa;r4money;r4moneya;r4shop;r4shopa;r5meals;r5mealsa;r5meds;r5medsa;r5money;r5moneya;r5shop;r5shopa;r6meals;r6mealsa;r6meds;r6medsa;r6money;r6moneya;r6shop;r6shopa;s1meals;s1mealsa;s1meds;s1medsa;s1money;s1moneya;s1shop;s1shopa;s2meals;s2mealsa;s2meds;s2medsa;s2money;s2moneya;s2shop;s2shopa;s3meals;s3mealsa;s3meds;s3medsa;s3money;s3moneya;s3shop;s3shopa;s4meals;s4mealsa;s4meds;s4medsa;s4money;s4moneya;s4shop;s4shopa;s5meals;s5mealsa;s5meds;s5medsa;s5money;s5moneya;s5shop;s5shopa;s6meals;s6mealsa;s6meds;s6medsa;s6money;s6moneya;s6shop;s6shopa,TRUE
MHAS,proxy,12,r1proxy;r2proxy;r3proxy;r4proxy;r5proxy;r6proxy;s1proxy;s2proxy;s3proxy;s4proxy;s5proxy;s6proxy,TRUE
MHAS,respondent_weight,6,r1wtresp;r2wtresp;r3wtresp;r4wtresp;r5wtresp;r6wtresp,TRUE
MHAS,household_wealth,6,h1atotb;h2atotb;h3atotb;h4atotb;h5atotb;h6atotb,TRUE
MHAS,death,64,h1chdeathe;h1dchild;h2chdeathe;h2dchild;h3chdeathe;h3dchild;h4chdeathe;h4dchild;h5chdeathe;h5dchild;h6chdeathe;h6dchild;r1dadage;r1decsib;r1momage;r2dadage;r2decsib;r2momage;r3dadage;r3decsib;r3momage;r4dadage;r4decsib;r4momage;r5dadage;r5decsib;r5momage;r6ccdied;r6dadage;r6decsib;r6momage;radmonth;radyear;s1dadage;s1decsib;s1dmonth;s1dyear;s1momage;s2dadage;s2decsib;s2dmonth;s2dyear;s2momage;s3dadage;s3decsib;s3dmonth;s3dyear;s3momage;s4dadage;s4decsib;s4dmonth;s4dyear;s4momage;s5dadage;s5decsib;s5dmonth;s5dyear;s5momage;s6ccdied;s6dadage;s6decsib;s6dmonth;s6dyear;s6momage,TRUE
