cohort,exposure,metric,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,bootstrap_median,ci_high
ELSA,education,recovery_relapse_contribution,-1.36135830621052,500,-1.36334465768628,0.220785751102203,-1.82930673348296,-1.36960202054235,-0.940090936961069
ELSA,education,recovery_relapse_percent,30.451355420201,500,31.0099050692724,5.07205246345144,21.2323567474477,30.8684668665698,41.7085534029952
ELSA,wealth,closure_error,,500,1.24344978758018e-17,2.75436115320748e-15,-5.32907051820075e-15,0,5.32907051820075e-15
ELSA,wealth,contribution_onset,-2.91469928271265,500,-2.88614878814232,0.219545960535163,-3.34442608674751,-2.87312625223549,-2.47603731447668
ELSA,wealth,contribution_post_disability_mortality,-0.473769205886957,500,-0.466584770382758,0.0916107996322191,-0.648465465232566,-0.469122537191935,-0.293105781698949
ELSA,wealth,contribution_pre_disability_mortality,-0.940185372261087,500,-0.906126451267587,0.238524945419557,-1.38636286518532,-0.906435134245937,-0.42080444181607
ELSA,wealth,contribution_recovery,-0.916159834013937,500,-0.943407432972022,0.113611182705276,-1.19465282485109,-0.945530652184164,-0.712947997609127
ELSA,wealth,contribution_relapse,-0.552514405408399,500,-0.544939900788076,0.0868379254293564,-0.727461922210521,-0.544133323341248,-0.387265724598433
ELSA,wealth,gap_dfle,-5.79732810028303,500,-5.74720734355277,0.336593749545392,-6.43283265560556,-5.72995073788535,-5.12979105901808
ELSA,wealth,gap_disabled,1.24901683154144,500,1.30191684256946,0.383777041228788,0.487819664458078,1.30645343607784,1.98758305115716
ELSA,wealth,gap_tle,-4.54831126874159,500,-4.4452905009833,0.514432202311689,-5.50798727009988,-4.42642086899945,-3.50359582792938
ELSA,wealth,high_dfle,21.2720411434302,500,21.273245413368,0.242909627651883,20.7973815192738,21.2597380395215,21.7539618251579
ELSA,wealth,high_disabled,5.8669671905127,500,5.84003866944929,0.348289251457797,5.21038760434144,5.79873056993305,6.59353838832031
ELSA,wealth,high_residual_age100,0.0563297726035545,500,0.0592421799784752,0.0378520508683098,0.00889708436690238,0.0500089040649208,0.149563158246408
ELSA,wealth,high_tle,27.1390083339429,500,27.1132840828172,0.441854090015152,26.3339069425276,27.1112636339635,27.9738491460709
ELSA,wealth,low_dfle,15.4747130431472,500,15.5260380698152,0.247649695949472,15.065036007232,15.5222796268753,16.0429134946322
ELSA,wealth,low_disabled,7.11598402205414,500,7.14195551201875,0.295502185188156,6.64093767413478,7.13049056287622,7.78323481725066
ELSA,wealth,low_residual_age100,0.00468850658372437,500,0.00801648651990467,0.0103805003530705,0.000268317364367504,0.00422388808939319,0.0428757737263708
ELSA,wealth,low_tle,22.5906970652013,500,22.6679935818339,0.378623251598551,21.9964530459541,22.6533022421194,23.4545974529154
