cohort,metric,point_estimate,household_ci_low,household_ci_high,household_bootstrap_sd,psu_bootstrap_mean,psu_bootstrap_sd,psu_ci_low,psu_ci_high,household_ci_width,psu_ci_width,psu_to_household_width_ratio
ELSA,hazard_ratio_death_pre,1.58700547914483,1.1592663843083,2.28353109533107,0.283613703919406,1.66146060378363,0.224398534352172,1.2756812744574,2.16495046038545,1.12426471102277,0.889269185928046,0.790978474383543
ELSA,hazard_ratio_death_post,1.61489913035945,1.29143810410004,2.14020498125622,0.214555683566737,1.62968639247291,0.152707549990167,1.35681042408982,1.96304038788709,0.84876687715618,0.606229963797273,0.714247904947075
HRS,initial_difficulty_high,0.164953740011649,0.136939440743364,0.19982014656236,0.0167578097458072,0.168527934843013,0.0167297361505857,0.136338227536419,0.203301021751391,0.062880705818996,0.0669627942149717,1.06491797989237
HRS,initial_difficulty_low,0.314624461163056,0.288266190021839,0.346242065474318,0.0147830746614158,0.318257276280857,0.0134509059444654,0.291832259350615,0.344223197659172,0.057975875452479,0.0523909383085579,0.903667911862772
HRS,population_high_tle,23.1447452010583,21.943500696529,24.2645584366504,0.579453165541707,23.10092768374,0.357198321501855,22.4112589859654,23.8118000651703,2.3210577401214,1.40054107920488,0.603406393126448
HRS,population_low_tle,19.939824183463,19.2900679202613,20.5661698894284,0.310376399588159,19.9287073293913,0.222521974030094,19.4768993145569,20.3597043362419,1.2761019691671,0.882805021684959,0.691798181505164
HRS,population_high_fdfle,15.8281364082911,14.8020169665637,16.7362677314516,0.492067206455323,15.754803165862,0.428161502964755,14.9371469163656,16.5714343756762,1.9342507648879,1.63428745931059,0.844920156671259
HRS,population_low_fdfle,11.2647352022648,10.7131810356369,11.7529030484422,0.246700122712543,11.2345091135224,0.180245264449486,10.8637955109724,11.6073940330632,1.0397220128053,0.743598522090833,0.715189745848039
HRS,population_high_difficulty_years,7.31660879276714,6.37777321306973,8.33627604364632,0.515881611917402,7.34612451787808,0.364587906413387,6.65199262042758,8.08708706195782,1.95850283057659,1.43509444153024,0.732750762023532
HRS,population_low_difficulty_years,8.67508898119821,8.18392160278355,9.20782335924363,0.255490635840953,8.69419821586893,0.217362958508615,8.28240833603717,9.08108491988287,1.02390175646008,0.798676583845696,0.780032438470414
HRS,population_high_fdfle_percent,68.3876027616299,64.7014108848478,71.8552560919336,1.86454671270948,68.1994678041891,1.50752337362208,65.2146774310733,71.1085800320207,7.15384520708579,5.8939026009474,0.823878967231435
HRS,population_low_fdfle_percent,56.4936535980451,54.3067304953171,58.4279234409241,0.999003853233611,56.3761470168578,0.849452269752575,54.7357846842636,58.1700461369979,4.121192945607,3.43426145273426,0.833317318082624
HRS,population_fdfle_gap,-4.56340120602628,-5.61345146022019,-3.55291338283059,0.520185150921869,-4.52029405233958,0.387677923128653,-5.33777481808691,-3.80153436353034,2.0605380773896,1.53624045455656,0.745553053066001
HRS,conditional_high_fdfle,17.2371629267828,16.2431915623152,18.0910244318361,0.469988148661437,17.1935448300176,0.337986362809543,16.5313936721262,17.8310642619503,1.8478328695209,1.29967058982415,0.703348561042277
HRS,conditional_low_fdfle,13.5529020403395,13.0386366349876,14.0399473758501,0.244669911994155,13.5471918358832,0.163737634783879,13.2283352497334,13.8813584200139,1.0013107408625,0.653023170280436,0.652168346579346
HRS,conditional_fdfle_gap,-3.68426088644326,-4.62489630910829,-2.6360146685197,0.506394399694966,-3.64635299413444,0.347328973540982,-4.36179353834491,-3.02201034533489,1.98888164058859,1.33978319301002,0.673636462657238
HRS,population_recovery_relapse,-1.10292298574601,-1.91905364466571,-0.456740345733794,0.367924074003512,-1.09098334725059,0.235739530994339,-1.57747576769776,-0.649897325479064,1.46231329893192,0.927578442218692,0.634322646792723
