cohort,exposure,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
HRS,education,death_pre,period_factor4,-0.163227607443687,0.0767645548934183,-2.12634083100353,0.0334748905882031,0.849397837140946,0.73074834847471,0.987312098953975
HRS,education,death_pre,period_factor5,-0.0992957652726253,0.0758171577769539,-1.30967406566127,0.190306120606591,0.905474860396547,0.780440016596045,1.05054162443661
HRS,education,death_pre,period_factor6,-0.368956952339553,0.0800922139838089,-4.60665193266027,4.09204104126462e-06,0.691455175337252,0.591000927769206,0.808983940694215
HRS,education,death_pre,period_factor7,-0.348128916292324,0.0799975318303544,-4.35174571423751,1.35057848679804e-05,0.70600785443247,0.603551396106425,0.825856909181017
HRS,education,death_pre,period_factor8,-0.334098095018298,0.0792512340082548,-4.21568319028948,2.49023149449681e-05,0.715983544363387,0.612975375899284,0.8363018417291
HRS,education,death_pre,period_factor9,-0.395914913458596,0.0803883686524333,-4.92502734034038,8.434855992465e-07,0.673063962185745,0.574947747620595,0.787923944511416
HRS,education,death_pre,period_factor10,-0.674633836077056,0.0844312586733956,-7.99033256967935,1.34575220396115e-15,0.50934288945691,0.431659108439307,0.601007077038875
HRS,education,death_pre,period_factor11,-0.461002862163074,0.0796799597604027,-5.78568141285849,7.22189731857943e-09,0.630650872369832,0.539465964553009,0.737248592041155
HRS,education,death_pre,period_factor12,-0.428778478093947,0.0786891783130922,-5.44901455684165,5.06496682281426e-08,0.651304191347715,0.558216015150904,0.759915764065684
HRS,education,death_pre,period_factor13,-0.549215303832538,0.0798735909721177,-6.87605624272306,6.1532215055995e-12,0.577402718359848,0.49372947061233,0.675256226361903
HRS,education,death_pre,period_factor14,-0.593799289767028,0.0803156637906804,-7.3933185849599,1.43208794668814e-13,0.552225230439244,0.471791564863133,0.646371677336247
HRS,education,death_pre,period_factor15,-0.597949911949632,0.079218678030976,-7.54809253085267,4.41679094428681e-14,0.549937902349119,0.470848675093868,0.642311877334809
HRS,education,death_pre,proxy_factorself,-0.346402303284636,0.0556359599627909,-6.22623036461145,4.7779139668478e-10,0.707227909756057,0.634163301218225,0.788710597691627
HRS,education,death_post,(Intercept),-3.00665401243097,0.112571305415581,-26.7088846605382,3.71142219721682e-157,0.049456884338625,0.0396646954208797,0.061666511806783
HRS,education,death_post,sesmiddle,0.137545346050021,0.0414122409524013,3.3213693074015,0.000895769233478402,1.14745373728692,1.05799684753204,1.24447448240043
HRS,education,death_post,seslow,0.0928236910397877,0.0446838460185062,2.07734336478879,0.0377698793662806,1.09726825998688,1.00525712327526,1.19770117166825
HRS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.22234100887069,0.0714151521667482,17.1159896994497,1.12782396428601e-65,3.39512645883997,2.95165877999265,3.90522229386688
HRS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.80012168370973,0.0771715638124606,23.326230476349,2.40247079363725e-120,6.05038365274912,5.20107543505202,7.03837942798222
HRS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.89518316471815,0.148002559810471,19.5617100705938,3.27894129918579e-85,18.0868140040655,13.5325534237175,24.1737705054479
HRS,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.01891504105332,0.0816500332675041,24.7264448066898,5.55755096826676e-135,7.53015059579453,6.41655247529246,8.83701461395129
HRS,education,death_post,origin_factorR1,-0.746595199912787,0.0344929878227518,-21.6448399236766,6.79794505419656e-104,0.473977607524349,0.442992935487317,0.5071294696548
HRS,education,death_post,origin_factorD2,-0.176116860826372,0.0373934149892949,-4.70983623391422,2.47915911718836e-06,0.838519987472581,0.779262005318735,0.902284167060639
HRS,education,death_post,sex_factormale,0.428666927274545,0.0279490196541349,15.3374584360824,4.29691822705487e-53,1.53520961278191,1.45337269021952,1.6216546320421
HRS,education,death_post,period_factor3,-0.0347400287949974,0.0996395909392453,-0.348656878932591,0.72734692073666,0.96585647849425,0.79450688514256,1.17416067059246
HRS,education,death_post,period_factor4,-0.0212975930789695,0.0960229499720236,-0.221796904648051,0.824471989184758,0.978927599139126,0.810987551117886,1.18164482677367
HRS,education,death_post,period_factor5,-0.0569373282244486,0.0955334558758537,-0.595993599335913,0.551179502660051,0.94465327060913,0.783344346114634,1.13917947592097
HRS,education,death_post,period_factor6,-0.15269292391676,0.0956553909274065,-1.59628142686322,0.110425974899319,0.858393273388402,0.711644001763004,1.0354039519381
