age,origin_state,destination,annual_probability,cohort,exposure,ses
68,I0,D1,0.0290447895823125,CHARLS,education,high
68,D1,D1,0.797133069283744,CHARLS,education,high
68,R1,D1,0,CHARLS,education,high
68,D2,D1,0,CHARLS,education,high
68,DEAD,D1,0,CHARLS,education,high
68,I0,R1,0,CHARLS,education,high
68,D1,R1,0.174423550148956,CHARLS,education,high
68,R1,R1,0.870900113542333,CHARLS,education,high
68,D2,R1,0.162424304948239,CHARLS,education,high
68,DEAD,R1,0,CHARLS,education,high
68,I0,D2,0,CHARLS,education,high
68,D1,D2,0,CHARLS,education,high
68,R1,D2,0.113434441012313,CHARLS,education,high
68,D2,D2,0.819600655841592,CHARLS,education,high
68,DEAD,D2,0,CHARLS,education,high
68,I0,DEAD,0.00938059750847822,CHARLS,education,high
68,D1,DEAD,0.0284433805673,CHARLS,education,high
68,R1,DEAD,0.0156654454453541,CHARLS,education,high
68,D2,DEAD,0.0179750392101697,CHARLS,education,high
68,DEAD,DEAD,1,CHARLS,education,high
69,I0,I0,0.95938814738407,CHARLS,education,high
69,D1,I0,0,CHARLS,education,high
69,R1,I0,0,CHARLS,education,high
69,D2,I0,0,CHARLS,education,high
69,DEAD,I0,0,CHARLS,education,high
69,I0,D1,0.0302346477134552,CHARLS,education,high
69,D1,D1,0.799444262163167,CHARLS,education,high
69,R1,D1,0,CHARLS,education,high
69,D2,D1,0,CHARLS,education,high
69,DEAD,D1,0,CHARLS,education,high
69,I0,R1,0,CHARLS,education,high
69,D1,R1,0.169599494403625,CHARLS,education,high
69,R1,R1,0.867536493527348,CHARLS,education,high
69,D2,R1,0.157977480476195,CHARLS,education,high
69,DEAD,R1,0,CHARLS,education,high
69,I0,D2,0,CHARLS,education,high
69,D1,D2,0,CHARLS,education,high
69,R1,D2,0.1154699601556,CHARLS,education,high
69,D2,D2,0.82245383543781,CHARLS,education,high
69,DEAD,D2,0,CHARLS,education,high
69,I0,DEAD,0.0103772049024743,CHARLS,education,high
69,D1,DEAD,0.0309562434332089,CHARLS,education,high
69,R1,DEAD,0.0169935463170517,CHARLS,education,high
69,D2,DEAD,0.0195686840859956,CHARLS,education,high
69,DEAD,DEAD,1,CHARLS,education,high
70,I0,I0,0.957145376145464,CHARLS,education,high
70,D1,I0,0,CHARLS,education,high
70,R1,I0,0,CHARLS,education,high
70,D2,I0,0,CHARLS,education,high
70,DEAD,I0,0,CHARLS,education,high
70,I0,D1,0.031459137466185,CHARLS,education,high
70,D1,D1,0.801820649274688,CHARLS,education,high
70,R1,D1,0,CHARLS,education,high
70,D2,D1,0,CHARLS,education,high
70,DEAD,D1,0,CHARLS,education,high
70,I0,R1,0,CHARLS,education,high
70,D1,R1,0.164335616610298,CHARLS,education,high
70,R1,R1,0.863351591203823,CHARLS,education,high
70,D2,R1,0.153126860448801,CHARLS,education,high
70,DEAD,R1,0,CHARLS,education,high
70,I0,D2,0,CHARLS,education,high
70,D1,D2,0,CHARLS,education,high
70,R1,D2,0.118140019063152,CHARLS,education,high
70,D2,D2,0.825471813031365,CHARLS,education,high
70,DEAD,D2,0,CHARLS,education,high
70,I0,DEAD,0.011395486388351,CHARLS,education,high
70,D1,DEAD,0.0338437341150145,CHARLS,education,high
70,R1,DEAD,0.0185083897330249,CHARLS,education,high
70,D2,DEAD,0.0214013265198336,CHARLS,education,high
70,DEAD,DEAD,1,CHARLS,education,high
71,I0,I0,0.954863397115374,CHARLS,education,high
71,D1,I0,0,CHARLS,education,high
71,R1,I0,0,CHARLS,education,high
71,D2,I0,0,CHARLS,education,high
71,DEAD,I0,0,CHARLS,education,high
71,I0,D1,0.0327185419778705,CHARLS,education,high
71,D1,D1,0.804189703307935,CHARLS,education,high
71,R1,D1,0,CHARLS,education,high
71,D2,D1,0,CHARLS,education,high
71,DEAD,D1,0,CHARLS,education,high
71,I0,R1,0,CHARLS,education,high
71,D1,R1,0.158631724953209,CHARLS,education,high
71,R1,R1,0.858267402936179,CHARLS,education,high
71,D2,R1,0.147873244947702,CHARLS,education,high
71,DEAD,R1,0,CHARLS,education,high
71,I0,D2,0,CHARLS,education,high
71,D1,D2,0,CHARLS,education,high
71,R1,D2,0.121487711629923,CHARLS,education,high
71,D2,D2,0.828606880704992,CHARLS,education,high
71,DEAD,D2,0,CHARLS,education,high
71,I0,DEAD,0.0124180609067555,CHARLS,education,high
71,D1,DEAD,0.0371785717388554,CHARLS,education,high
71,R1,DEAD,0.0202448854338984,CHARLS,education,high
71,D2,DEAD,0.0235198743473057,CHARLS,education,high
71,DEAD,DEAD,1,CHARLS,education,high
72,I0,I0,0.952530913947563,CHARLS,education,high
72,D1,I0,0,CHARLS,education,high
72,R1,I0,0,CHARLS,education,high
72,D2,I0,0,CHARLS,education,high
72,DEAD,I0,0,CHARLS,education,high
72,I0,D1,0.0340177333980853,CHARLS,education,high
72,D1,D1,0.806415022177972,CHARLS,education,high
72,R1,D1,0,CHARLS,education,high
72,D2,D1,0,CHARLS,education,high
72,DEAD,D1,0,CHARLS,education,high
72,I0,R1,0,CHARLS,education,high
72,D1,R1,0.152565256595424,CHARLS,education,high
72,R1,R1,0.852461202247011,CHARLS,education,high
72,D2,R1,0.142289495724773,CHARLS,education,high
72,DEAD,R1,0,CHARLS,education,high
72,I0,D2,0,CHARLS,education,high
72,D1,D2,0,CHARLS,education,high
72,R1,D2,0.125305633214446,CHARLS,education,high
72,D2,D2,0.831747637789697,CHARLS,education,high
72,DEAD,D2,0,CHARLS,education,high
72,I0,DEAD,0.013451352654352,CHARLS,education,high
72,D1,DEAD,0.0410197212266044,CHARLS,education,high
72,R1,DEAD,0.0222331645385427,CHARLS,education,high
72,D2,DEAD,0.0259628664855302,CHARLS,education,high
72,DEAD,DEAD,1,CHARLS,education,high
73,I0,I0,0.950122077221134,CHARLS,education,high
