cohort,phase,replicate,seed,exposure,status,error_message,unique_sampled_people,elapsed_seconds_replicate_exposure
ELSA,final,195,351195,wealth,valid,"",9031,7.5
ELSA,final,196,351196,education,valid,"",9013,3.70000000000005
ELSA,final,196,351196,wealth,valid,"",9013,7.43000000000006
ELSA,final,197,351197,education,valid,"",9062,3.66999999999985
ELSA,final,197,351197,wealth,valid,"",9062,7.43999999999983
ELSA,final,198,351198,education,valid,"",9012,3.63999999999987
ELSA,final,198,351198,wealth,valid,"",9012,7.23000000000002
ELSA,final,199,351199,education,valid,"",8954,3.74000000000001
ELSA,final,199,351199,wealth,valid,"",8954,7.35000000000014
ELSA,final,200,351200,education,valid,"",8963,3.52999999999997
ELSA,final,200,351200,wealth,valid,"",8963,7.19000000000006
ELSA,final,201,351201,education,valid,"",9037,3.59999999999991
ELSA,final,201,351201,wealth,valid,"",9037,7.75
ELSA,final,202,351202,education,valid,"",8970,4.12000000000012
ELSA,final,202,351202,wealth,valid,"",8970,8.50999999999999
ELSA,final,203,351203,education,valid,"",8967,4.18999999999983
ELSA,final,203,351203,wealth,valid,"",8967,8.27999999999997
ELSA,final,204,351204,education,valid,"",9022,3.74000000000001
ELSA,final,204,351204,wealth,valid,"",9022,7.38000000000011
ELSA,final,205,351205,education,valid,"",8891,3.75
ELSA,final,205,351205,wealth,valid,"",8891,7.46000000000004
ELSA,final,206,351206,education,valid,"",8984,3.6099999999999
ELSA,final,206,351206,wealth,valid,"",8984,7.29999999999996
ELSA,final,207,351207,education,valid,"",9018,3.61000000000013
ELSA,final,207,351207,wealth,valid,"",9018,7.23000000000002
ELSA,final,208,351208,education,valid,"",8926,3.4699999999998
ELSA,final,208,351208,wealth,valid,"",8926,7.1099999999999
ELSA,final,209,351209,education,valid,"",8972,3.59000000000015
ELSA,final,209,351209,wealth,valid,"",8972,7.11000000000013
ELSA,final,210,351210,education,valid,"",8991,3.6400000000001
ELSA,final,210,351210,wealth,valid,"",8991,7.26999999999998
ELSA,final,211,351211,education,valid,"",8988,3.58999999999992
ELSA,final,211,351211,wealth,valid,"",8988,7.30999999999995
ELSA,final,212,351212,education,valid,"",9019,3.68999999999983
ELSA,final,212,351212,wealth,valid,"",9019,7.44999999999982
ELSA,final,213,351213,education,valid,"",8936,4.05999999999995
ELSA,final,213,351213,wealth,valid,"",8936,7.66000000000008
ELSA,final,214,351214,education,valid,"",8987,3.63000000000011
ELSA,final,214,351214,wealth,valid,"",8987,7.17000000000007
ELSA,final,215,351215,education,valid,"",9061,3.97000000000003
ELSA,final,215,351215,wealth,valid,"",9061,7.58000000000016
ELSA,final,216,351216,education,valid,"",8962,3.55000000000018
ELSA,final,216,351216,wealth,valid,"",8962,7.17000000000007
ELSA,final,217,351217,education,valid,"",9006,3.70999999999981
ELSA,final,217,351217,wealth,valid,"",9006,7.30999999999995
ELSA,final,218,351218,education,valid,"",8954,3.62000000000012
ELSA,final,218,351218,wealth,valid,"",8954,7.34000000000015
ELSA,final,219,351219,education,valid,"",8942,3.52999999999997
ELSA,final,219,351219,wealth,valid,"",8942,7.22000000000003
ELSA,final,220,351220,education,valid,"",9039,3.6099999999999
ELSA,final,220,351220,wealth,valid,"",9039,7.42999999999984
ELSA,final,221,351221,education,valid,"",9013,3.57999999999993
ELSA,final,221,351221,wealth,valid,"",9013,7.27999999999997
ELSA,final,222,351222,education,valid,"",8985,3.56000000000017
ELSA,final,222,351222,wealth,valid,"",8985,7.36000000000013
ELSA,final,223,351223,education,valid,"",9003,3.56999999999994
ELSA,final,223,351223,wealth,valid,"",9003,7.36999999999989
ELSA,final,224,351224,education,valid,"",9000,3.70000000000005
ELSA,final,224,351224,wealth,valid,"",9000,7.36000000000013
ELSA,final,225,351225,education,valid,"",9013,3.58999999999992
ELSA,final,225,351225,wealth,valid,"",9013,7.36999999999989
ELSA,final,226,351226,education,valid,"",8997,3.61999999999989
ELSA,final,226,351226,wealth,valid,"",8997,7.23000000000002
