cohort,phase,replicate,seed,exposure,high_tle,low_tle,gap_tle,high_dfle,low_dfle,gap_dfle,high_disabled,low_disabled,gap_disabled,high_residual_age100,low_residual_age100,contribution_onset,contribution_recovery,contribution_relapse,contribution_post_disability_mortality,contribution_pre_disability_mortality,recovery_relapse_contribution,recovery_relapse_percent,closure_error
MHAS,final,11,451011,education,27.9424236812648,22.3559498835972,-5.58647379766763,20.5722351614376,16.0462654709378,-4.52596969049979,7.37018851982726,6.30968441265941,-1.06050410716784,0.148058207123772,0.00982944694413021,-2.43213530150098,-0.977205523432464,0.503043512773589,-0.76449078805196,-0.855181590287978,-0.474162010658875,10.4764733987097,1.77635683940025e-15
MHAS,final,11,451011,wealth,23.1204459159858,21.7003329573469,-1.42011295863894,16.9376851952829,16.0043667225495,-0.933318472733415,6.18276072070291,5.69596623479739,-0.486794485905526,0.0110512143809433,0.00946622500786163,-0.0609150986475574,-0.0420992729574369,0.25357534495097,0.0407525523443379,-1.12463199842373,0.211476071993533,-22.6585113411698,-3.33066907387547e-16
MHAS,final,12,451012,education,21.1178429455906,22.5663038045055,1.44846085891492,17.0269863986213,15.8154724900816,-1.21151390853976,4.0908565469693,6.75083131442398,2.65997476745468,0.0238042427060204,0.038094013250142,-1.69298116993159,-0.656810166144071,-0.111092126674966,0.104891249243247,1.14447830496762,-0.767902292819037,63.3836960026808,3.99680288865056e-15
MHAS,final,12,451012,wealth,22.9340024425819,20.585269414508,-2.34873302807386,16.5579950504519,15.2534298542864,-1.30456519616545,6.37600739212997,5.33183956022156,-1.04416783190841,0.040120789581639,0.0143163351215905,-0.713083011218974,-0.112661960780295,0.407580772957874,-0.291675678280665,-0.594725318843392,0.294918812177579,-22.6066748556871,-1.33226762955019e-15
MHAS,final,13,451013,education,28.322986042932,23.7181754782976,-4.60481056463443,20.1135464662356,16.0768143557649,-4.03673211047063,8.20943957669643,7.64136112253263,-0.568078454163796,0.321804482523134,0.104972265825161,-2.89373221142151,-0.195582318127493,-0.14408922534422,-0.77841110544749,-0.0249172501299199,-0.339671543471714,8.41451783710542,0
MHAS,final,13,451013,wealth,24.8536404709626,22.7406300086315,-2.11301046233108,16.8360941868274,16.229208450112,-0.606885736715466,8.01754628413517,6.51142155851956,-1.50612472561561,0.132326297126795,0.0822955600778018,-0.77680916551361,0.0404205239733529,0.943024110221016,-0.287543196441894,-0.52597800895433,0.983444634194369,-162.04774221864,5.55111512312578e-16
MHAS,final,14,451014,education,24.9091680616638,23.2166520850225,-1.69251597664126,18.8514895393317,15.9142586616883,-2.93723087764339,6.05767852233208,7.30239342333421,1.24471490100213,0.172683377885571,0.128264860245932,-2.39233676127024,-0.0820918657726441,-0.0241850669436304,-0.135958411513565,-0.30265877214331,-0.106276932716274,3.6182696268515,-1.33226762955019e-15
MHAS,final,14,451014,wealth,24.3471617825026,22.3751223065868,-1.97203947591577,16.7413136455353,15.269639854402,-1.47167379113332,7.60584813696729,7.10548245218484,-0.50036568478245,0.152054496455703,0.107512097140147,-1.09310394461547,0.0370460502278325,0.403269630436982,-0.164981975448047,-0.653903551734617,0.440315680664815,-29.9193804576579,-1.33226762955019e-15
MHAS,final,15,451015,education,27.0897581302858,23.6442456185423,-3.44551251174346,21.1325581647119,16.2839206967244,-4.8486374679875,5.95719996557385,7.3603249218179,1.40312495624404,0.208515157301524,0.0698273557654897,-2.20419555609607,-0.895991581314082,-1.06356670101711,-0.748825743530999,0.0639421139707639,-1.95955828233119,40.4146174109515,0
MHAS,final,15,451015,wealth,23.8925679983693,23.7745608706185,-0.118007127750779,17.5034358735326,15.7314664937855,-1.77196937974712,6.38913212483667,8.04309437683301,1.65396225199634,0.0642241587424729,0.0910900000249548,-1.56521665730098,0.118125976961199,0.0122964816409767,0.237877565998899,-0.57505274704722,0.130422458602176,-7.36031108058923,-1.99840144432528e-15
MHAS,final,16,451016,education,25.441549459656,22.6305327033084,-2.81101675634761,19.665176333916,15.9101290278358,-3.75504730608019,5.77637312573998,6.72040367547256,0.944030549732579,0.171177562958483,0.0445653167117156,-1.4579971373078,-0.872251198139531,-1.07875360616884,-0.811283998439497,0.465238633975484,-1.95100480430837,51.9568635300358,2.66453525910038e-15
MHAS,final,16,451016,wealth,22.910418127553,22.5801321726109,-0.330285954942056,16.864248294011,15.3891541954239,-1.47509409858707,6.04616983354204,7.19097797718706,1.14480814364502,0.0423529651228645,0.0522935782608043,-1.36153386031569,0.153704742832794,0.0208049061617848,0.0905497600905068,-0.378619647356464,0.174509648994579,-11.8304079151109,4.44089209850063e-16
MHAS,final,17,451017,education,24.062434872002,22.9206520443543,-1.14178282764763,20.384158798814,15.7630644077854,-4.62109439102861,3.67827607318793,7.15758763656891,3.47931156338098,0.0618402865494779,0.0370237963482486,-2.74284834801241,-1.27305755198555,-0.696035037926468,-0.332522374052253,0.423368920948066,-1.96909258991202,42.6109579958984,-2.66453525910038e-15
MHAS,final,17,451017,wealth,23.4457474015211,22.0153846843693,-1.43036271715182,16.6438671228996,15.5602050284517,-1.08366209444793,6.80188027862151,6.45517965591763,-0.346700622703888,0.0387854094385412,0.02862454573019,-0.778545985946055,-0.198752196874999,0.546800516907178,-0.104568550209441,-0.548595878324616,0.348048320032179,-32.1177903901391,8.88178419700125e-16
MHAS,final,18,451018,education,25.6307628486049,22.5573738920946,-3.07338895651023,20.121455707723,15.4525266010497,-4.6689291066733,5.50930714088187,7.10484729104494,1.59554015016307,0.12741387563264,0.0409071237041226,-2.74162460646682,-0.763830729692058,-0.610424456903371,-0.436890806448384,-0.11615850716267,-1.37425518659543,29.4340555445831,1.77635683940025e-15
