cohort,phase,replicate,seed,exposure,status,error_message,unique_sampled_people,elapsed_seconds_replicate_exposure
MHAS,final,144,451144,wealth,valid,"",9491,7.05999999999995
MHAS,final,145,451145,education,valid,"",9635,3.6400000000001
MHAS,final,145,451145,wealth,valid,"",9635,7.32000000000005
MHAS,final,146,451146,education,valid,"",9561,3.61999999999989
MHAS,final,146,451146,wealth,valid,"",9561,7.16999999999985
MHAS,final,147,451147,education,valid,"",9657,3.66000000000008
MHAS,final,147,451147,wealth,valid,"",9657,7.16000000000008
MHAS,final,148,451148,education,valid,"",9566,3.83999999999992
MHAS,final,148,451148,wealth,valid,"",9566,7.78999999999996
MHAS,final,149,451149,education,valid,"",9558,3.83999999999992
MHAS,final,149,451149,wealth,valid,"",9558,7.61999999999989
MHAS,final,150,451150,education,valid,"",9658,3.65999999999985
MHAS,final,150,451150,wealth,valid,"",9658,7.3599999999999
MHAS,final,151,451151,education,valid,"",9575,3.58999999999992
MHAS,final,151,451151,wealth,valid,"",9575,6.98000000000002
MHAS,final,152,451152,education,valid,"",9650,3.41000000000008
MHAS,final,152,451152,wealth,valid,"",9650,6.91000000000008
MHAS,final,153,451153,education,valid,"",9611,3.58000000000015
MHAS,final,153,451153,wealth,valid,"",9611,6.98000000000002
MHAS,final,154,451154,education,valid,"",9554,3.50999999999999
MHAS,final,154,451154,wealth,valid,"",9554,7.00999999999999
MHAS,final,155,451155,education,valid,"",9657,3.48000000000002
MHAS,final,155,451155,wealth,valid,"",9657,7.15000000000009
MHAS,final,156,451156,education,valid,"",9580,3.44000000000005
MHAS,final,156,451156,wealth,valid,"",9580,6.91000000000008
MHAS,final,157,451157,education,valid,"",9642,3.42000000000007
MHAS,final,157,451157,wealth,valid,"",9642,6.95000000000005
MHAS,final,158,451158,education,valid,"",9627,3.76999999999998
MHAS,final,158,451158,wealth,valid,"",9627,7.27999999999997
MHAS,final,159,451159,education,valid,"",9616,3.44000000000005
MHAS,final,159,451159,wealth,valid,"",9616,6.98000000000002
MHAS,final,160,451160,education,valid,"",9548,3.47000000000003
MHAS,final,160,451160,wealth,valid,"",9548,7.08999999999992
MHAS,final,161,451161,education,valid,"",9608,3.62000000000012
MHAS,final,161,451161,wealth,valid,"",9608,7.1400000000001
MHAS,final,162,451162,education,valid,"",9548,3.54999999999995
MHAS,final,162,451162,wealth,valid,"",9548,7.07999999999993
MHAS,final,163,451163,education,valid,"",9663,3.6400000000001
MHAS,final,163,451163,wealth,valid,"",9663,7.42000000000007
MHAS,final,164,451164,education,valid,"",9626,3.75999999999999
MHAS,final,164,451164,wealth,valid,"",9626,7.50999999999999
MHAS,final,165,451165,education,valid,"",9599,3.69000000000005
MHAS,final,165,451165,wealth,valid,"",9599,7.33999999999992
MHAS,final,166,451166,education,valid,"",9577,3.81999999999994
MHAS,final,166,451166,wealth,valid,"",9577,7.37999999999988
MHAS,final,167,451167,education,valid,"",9617,3.50999999999999
MHAS,final,167,451167,wealth,valid,"",9617,6.86999999999989
MHAS,final,168,451168,education,valid,"",9570,3.33999999999992
MHAS,final,168,451168,wealth,valid,"",9570,6.77999999999997
MHAS,final,169,451169,education,valid,"",9608,3.38999999999987
MHAS,final,169,451169,wealth,valid,"",9608,6.92999999999984
MHAS,final,170,451170,education,valid,"",9591,3.52999999999997
MHAS,final,170,451170,wealth,valid,"",9591,6.93999999999983
