cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000,module
CHARLS,population_fdfle_gap,250,500,-3.52478383696084,-1.93948154270973,-3.52082277252344,-1.87653871051251,0.0629428321972199,0.0358707896783244,FALSE,primary_wealth
CHARLS,population_recovery_relapse,250,500,-1.684046901906,-0.367951474816286,-1.63041264472894,-0.37243362499114,0.0536342571770592,0.0461982325937569,FALSE,primary_wealth
ELSA,conditional_fdfle_gap,250,500,-6.49767671691934,-5.04065521093299,-6.50416823215593,-5.08404389708875,0.0433886861557609,0.0259816482318264,FALSE,primary_wealth
ELSA,population_contribution_initial_state,250,500,-1.64658376318217,-1.26400197374167,-1.6444482334019,-1.26260478266306,0.00213552978027209,0.00193361625095425,FALSE,primary_wealth
ELSA,population_contribution_onset,250,500,-2.77679767556439,-1.91199270381121,-2.78038487247206,-1.93371825745242,0.0217255536412018,0.0214232572913176,FALSE,primary_wealth
ELSA,population_contribution_post_difficulty_mortality,250,500,-0.85175090527713,-0.406867478225743,-0.853429066262179,-0.407067664774198,0.00167816098504925,0.00331116093745444,FALSE,primary_wealth
ELSA,population_contribution_pre_difficulty_mortality,250,500,-1.20509023326695,-0.384430429471419,-1.20617843310559,-0.385517782884058,0.00108819983864228,1.03139586767019e-06,FALSE,primary_wealth
ELSA,population_contribution_recovery,250,500,-1.54705858466473,-0.9694849237916,-1.55452980224759,-0.974653224217741,0.00747121758286062,0.00397139192023287,FALSE,primary_wealth
ELSA,population_contribution_relapse,250,500,-0.985386373750059,-0.510790502292672,-0.996292758278787,-0.513467447743789,0.0109063845287281,0.0170443406715636,FALSE,primary_wealth
ELSA,population_fdfle_gap,250,500,-7.93839819525398,-6.50119473943298,-7.91435737232417,-6.4943334087846,0.0240408229298099,0.0120980298378975,FALSE,primary_wealth
ELSA,population_recovery_relapse,250,500,-2.39296533758329,-1.62440146525877,-2.39508098176555,-1.62559807180225,0.00211564418225718,0.00119435744040608,FALSE,primary_wealth
HRS,conditional_fdfle_gap,250,500,-6.20884097038704,-5.29891899179376,-6.20347762522761,-5.34717645720185,0.0482574654080832,0.0626191024486553,FALSE,primary_wealth
HRS,population_contribution_initial_state,250,500,-1.77944778066258,-1.49201931020847,-1.77017014219895,-1.49685896079648,0.00927763846363261,0.0516528046134287,FALSE,primary_wealth
HRS,population_contribution_onset,250,500,-2.5034072500184,-1.98531494406972,-2.50411343291611,-1.97000540324987,0.015309540819846,0.0299859257453379,FALSE,primary_wealth
HRS,population_contribution_post_difficulty_mortality,250,500,-0.441432752738641,-0.196885015994609,-0.441357395922694,-0.213824971188601,0.0169399551939924,0.0747819218725602,FALSE,primary_wealth
HRS,population_contribution_pre_difficulty_mortality,250,500,-1.61490796487373,-1.0964892717001,-1.59662975810068,-1.10119585276845,0.01827820677305,0.046393247603822,FALSE,primary_wealth
HRS,population_contribution_recovery,250,500,-1.34879364828236,-0.958437602602695,-1.36737235754937,-0.95022230763691,0.0185787092670087,0.0642310943949697,FALSE,primary_wealth
HRS,population_contribution_relapse,250,500,-0.649564764569211,-0.33766122522651,-0.658220641509026,-0.337405848043123,0.00865587693981462,0.0277769426619287,FALSE,primary_wealth
HRS,population_fdfle_gap,250,500,-7.68199080542318,-6.77414770055166,-7.65264710045183,-6.79925782315016,0.0293437049713479,0.0638088959144517,FALSE,primary_wealth
HRS,population_recovery_relapse,250,500,-1.91665749308763,-1.3854259510649,-1.93799565666773,-1.38197942506152,0.0213381635801011,0.0445754785105592,FALSE,primary_wealth
MHAS,conditional_fdfle_gap,500,1000,-2.83856733394819,-0.240050926072417,-2.84077695862278,-0.281985172010985,0.0419342459385685,0.0155247572201174,FALSE,primary_wealth
MHAS,population_contribution_initial_state,500,1000,-0.185440605556196,0.086419570590621,-0.195337168614937,0.0737850966613032,0.0126344739293178,0.0101734832967708,FALSE,primary_wealth
MHAS,population_contribution_onset,500,1000,-1.70290641687696,-0.191945962652943,-1.69536622691626,-0.166903666798569,0.0250422958543734,0.0114507913705936,FALSE,primary_wealth
MHAS,population_contribution_post_difficulty_mortality,500,1000,-0.406949755898108,0.261266334702446,-0.404054255042018,0.271012319378642,0.0097459846761967,0.0101478640473137,FALSE,primary_wealth
MHAS,population_contribution_pre_difficulty_mortality,500,1000,-1.14985422004465,0.0151994025054628,-1.16177671892649,-0.019960710935633,0.0351601134410958,0.0203514527705289,FALSE,primary_wealth
MHAS,population_contribution_recovery,500,1000,-0.568496455083758,0.421998272338626,-0.562058405230764,0.46773993252375,0.0457416601851244,0.0381663175120597,FALSE,primary_wealth
MHAS,population_contribution_relapse,500,1000,-0.339253695038521,0.905585084871022,-0.346179813267486,0.91164854722196,0.00692611822896505,0.0103269897451258,FALSE,primary_wealth
MHAS,population_fdfle_gap,500,1000,-2.66349539796518,-0.122459724453677,-2.67552387129571,-0.142071278682403,0.0196115542287266,0.00299318050012556,FALSE,primary_wealth
MHAS,population_recovery_relapse,500,1000,-0.611123170420769,1.10034604471923,-0.608892927777907,1.04597409787582,0.0543719468434178,0.0342034668700471,FALSE,primary_wealth
CHARLS,conditional_fdfle_gap,250,500,-2.55291016016536,-0.712913823455079,-2.55850518796063,-0.765847535177755,0.0529337117226755,0.026406985100536,FALSE,focused_broad
CHARLS,population_contribution_initial_state,250,500,-0.640931834641616,-0.387664405875489,-0.626950501387027,-0.38240679620583,0.0139813332545893,0.0356734743119466,FALSE,focused_broad
CHARLS,population_contribution_onset,250,500,-0.885124210019086,-0.191671918067605,-0.883098058228074,-0.190013205842712,0.0020261517910114,0.000530150911325115,FALSE,focused_broad
CHARLS,population_contribution_post_difficulty_mortality,250,500,-0.433509820899169,0.143733544752821,-0.431851555235301,0.180315948121945,0.0365824033691234,0.0570499700061248,FALSE,focused_broad
CHARLS,population_contribution_pre_difficulty_mortality,250,500,-0.297795928815737,0.181607444867154,-0.282513237203432,0.169215883216483,0.0152826916123046,0.0612629383672464,FALSE,focused_broad
CHARLS,population_contribution_recovery,250,500,-0.81732245929723,0.172673529380986,-0.793464299151475,0.189986936553367,0.0238581601457543,0.00665488306462236,FALSE,focused_broad
CHARLS,population_contribution_relapse,250,500,-1.17039639221596,-0.20935596278791,-1.16367487907376,-0.118957725171245,0.0903982376166652,0.0800950995797258,FALSE,focused_broad
CHARLS,population_fdfle_gap,250,500,-3.09781643269138,-1.29905619332043,-3.07020779951228,-1.29446118618651,0.0276086331790966,0.0129599718070543,FALSE,focused_broad
CHARLS,population_recovery_relapse,250,500,-1.73895035223548,-0.224198832614925,-1.69361532821476,-0.227071277755234,0.0453350240207202,0.0328714770933231,FALSE,focused_broad
ELSA,conditional_fdfle_gap,250,500,-6.53266079884854,-4.34680556559534,-6.5132661749582,-4.33382209351646,0.019394623890336,0.00294164547099513,FALSE,focused_broad
ELSA,population_contribution_initial_state,250,500,-1.66460105483156,-1.07743772963632,-1.66266767797071,-1.08320856008589,0.00577083044957094,0.0132955148562351,FALSE,focused_broad
ELSA,population_contribution_onset,250,500,-2.54177780791015,-1.38746166267224,-2.49883836834692,-1.37026300683093,0.0429394395632294,0.0228082098898046,FALSE,focused_broad
ELSA,population_contribution_post_difficulty_mortality,250,500,-1.14270357235886,-0.410752417646385,-1.13413206333255,-0.380744995824421,0.0300074218219648,0.0284527220072448,FALSE,focused_broad
ELSA,population_contribution_pre_difficulty_mortality,250,500,-1.27934880339679,-0.241408577605047,-1.2760115912274,-0.236936758241381,0.00447181936366656,0.00109193982786597,FALSE,focused_broad
ELSA,population_contribution_recovery,250,500,-1.74995668651129,-0.603106972246861,-1.69956109417293,-0.601984301069915,0.0503955923383666,0.0448924589796757,FALSE,focused_broad
ELSA,population_contribution_relapse,250,500,-1.32778448892045,-0.367702229450994,-1.32551285590093,-0.348932513520123,0.0187697159308712,0.0168937282427021,FALSE,focused_broad
ELSA,population_fdfle_gap,250,500,-7.88993775429129,-5.67592611267308,-7.83944925094389,-5.63623081032602,0.0504885033473945,0.00489883381572511,FALSE,focused_broad
ELSA,population_recovery_relapse,250,500,-2.81546280822474,-1.26647668360121,-2.76533977927872,-1.22102230391519,0.0501230289460199,0.00302311495821242,FALSE,focused_broad
HRS,conditional_fdfle_gap,250,500,-4.64683993974272,-2.6484725468125,-4.62489630910829,-2.6360146685197,0.0219436306344321,0.00476939006729037,FALSE,focused_broad
HRS,population_contribution_initial_state,250,500,-1.43509294170198,-0.897593526977112,-1.4703264193166,-0.893675469508634,0.0352334776146148,0.0678946858513485,FALSE,focused_broad
