age,state,probability_start,probability_end,half_cycle_occupancy,cohort,exposure,ses
84,D2,0.129020275492836,0.129118712724009,0.129069494108422,CHARLS,education,middle
84,DEAD,0.389145300682672,0.429607492757795,0.409376396720234,CHARLS,education,middle
85,I0,0.236360807883723,0.207817154058719,0.222088980971221,CHARLS,education,middle
85,D1,0.137981543900327,0.132427082253245,0.135204313076786,CHARLS,education,middle
85,R1,0.0669314427341468,0.0605879751825366,0.0637597089583417,CHARLS,education,middle
85,D2,0.129118712724009,0.127153127753832,0.12813592023892,CHARLS,education,middle
85,DEAD,0.429607492757795,0.472014660751668,0.450811076754732,CHARLS,education,middle
86,I0,0.207817154058719,0.181011576797558,0.194414365428138,CHARLS,education,middle
86,D1,0.132427082253245,0.12571608878828,0.129071585520762,CHARLS,education,middle
86,R1,0.0605879751825366,0.0544181959611436,0.0575030855718401,CHARLS,education,middle
86,D2,0.127153127753832,0.123115685561287,0.125134406657559,CHARLS,education,middle
86,DEAD,0.472014660751668,0.515738452891732,0.4938765568217,CHARLS,education,middle
87,I0,0.181011576797558,0.156262441243357,0.168637009020457,CHARLS,education,middle
87,D1,0.12571608878828,0.117961027953104,0.121838558370692,CHARLS,education,middle
87,R1,0.0544181959611436,0.0486289497203894,0.0515235728407665,CHARLS,education,middle
87,D2,0.123115685561287,0.117151638365995,0.120133661963641,CHARLS,education,middle
