cohort,exposure,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
ELSA,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",4.54498084342121,0.497320094290742,9.13894470703637,6.30647024547106e-20,94.158623435041,35.5248857741,249.567202652222
ELSA,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.81436088286863,0.663059921985042,4.24450459084166,2.1907688278638e-05,16.6825102943235,4.54834502386472,61.188442886361
ELSA,wealth,death_pre,sex_factormale,0.609483068763042,0.0678509838080798,8.98267106173433,2.64271673314545e-19,1.83948026815787,1.61042020284556,2.10112096890196
ELSA,wealth,death_pre,period_factor2,-0.0026521823154229,0.0946118269014065,-0.0280322492682305,0.977636430050951,0.997351331612882,0.828539005930436,1.20055865994256
ELSA,wealth,death_pre,period_factor3,-0.108324448162296,0.0985836690678509,-1.09880722828181,0.271852158682761,0.897336410046344,0.739671996119092,1.08860770317066
ELSA,wealth,death_pre,period_factor4,-0.143781531396191,0.0979157472095229,-1.4684209179196,0.141989923025905,0.866076938011859,0.714840101240427,1.04931055386289
ELSA,wealth,death_pre,period_factor5,-0.61530917918029,0.11609526277965,-5.30003692181784,1.15779264694851e-07,0.54047376623822,0.430479362706071,0.678573509669447
ELSA,wealth,death_pre,proxy_factorself,-0.742586363384929,0.282987839545861,-2.6240928393836,0.00868800998453801,0.475881519957857,0.273284328649321,0.828672548318709
ELSA,wealth,death_post,(Intercept),-3.31935570468174,0.253941864316,-13.0713213184542,4.80240411398457e-39,0.036176132359717,0.0219918849684639,0.059508884953902
ELSA,wealth,death_post,sesmiddle,0.122415686488626,0.105219861421936,1.16342755858359,0.244656073678261,1.1302238229175,0.919601144162197,1.38908688620003
ELSA,wealth,death_post,seslow,0.285301790136792,0.0950386768144482,3.00195456944134,0.00268252205768536,1.33016339774749,1.10409498752713,1.60252033085484
ELSA,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.39301349661504,0.222379659463386,6.26412280680908,3.7492991829266e-10,4.02696703811591,2.60426207901968,6.22689385093546
ELSA,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.57347839486104,0.297118995810911,5.29578524781504,1.18506044759931e-07,4.82339672626889,2.69426425417439,8.63506834674265
ELSA,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.10752654799248,0.49178956997168,6.31881344732753,2.63579227936509e-10,22.3656555525303,8.53025274205195,58.6409996773557
ELSA,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.99210101068412,0.582966864364473,5.13254044712471,2.85857271539808e-07,19.9275064438408,6.3565511390219,62.4718505970235
ELSA,wealth,death_post,origin_factorR1,-0.596019229180645,0.111596148294465,-5.34085842826716,9.25074797952757e-08,0.551000683597791,0.442751028279833,0.685716653227841
ELSA,wealth,death_post,origin_factorD2,0.0808174994970413,0.13598301802224,0.594320531140317,0.552297749110941,1.08417301638991,0.830515060508462,1.41530381008186
ELSA,wealth,death_post,sex_factormale,0.534256339684142,0.0740197014072258,7.21775864434909,5.28514096198657e-13,1.70617895277367,1.47576680857436,1.97256545002529
ELSA,wealth,death_post,period_factor2,-0.0852562211306559,0.117228649966537,-0.727264377394029,0.467064015786814,0.918276972292681,0.729771085834558,1.15547548294367
