age,origin_state,destination,annual_probability,cohort,exposure,ses
76,R1,R1,0.721398752264885,CHARLS,education,high
76,D2,R1,0.174575370594303,CHARLS,education,high
76,DEAD,R1,0,CHARLS,education,high
76,I0,D2,0,CHARLS,education,high
76,D1,D2,0,CHARLS,education,high
76,R1,D2,0.256950614704654,CHARLS,education,high
76,D2,D2,0.783924842902224,CHARLS,education,high
76,DEAD,D2,0,CHARLS,education,high
76,I0,DEAD,0.0205301974605226,CHARLS,education,high
76,D1,DEAD,0.0625286274977479,CHARLS,education,high
76,R1,DEAD,0.021650633030461,CHARLS,education,high
76,D2,DEAD,0.0414997865034727,CHARLS,education,high
76,DEAD,DEAD,1,CHARLS,education,high
77,I0,I0,0.948598814100258,CHARLS,education,high
77,D1,I0,0,CHARLS,education,high
77,R1,I0,0,CHARLS,education,high
77,D2,I0,0,CHARLS,education,high
77,DEAD,I0,0,CHARLS,education,high
77,I0,D1,0.0291312366797804,CHARLS,education,high
77,D1,D1,0.772734458535018,CHARLS,education,high
77,R1,D1,0,CHARLS,education,high
77,D2,D1,0,CHARLS,education,high
77,DEAD,D1,0,CHARLS,education,high
77,I0,R1,0,CHARLS,education,high
77,D1,R1,0.158131083760298,CHARLS,education,high
77,R1,R1,0.712817938822693,CHARLS,education,high
77,D2,R1,0.166539825368559,CHARLS,education,high
77,DEAD,R1,0,CHARLS,education,high
77,I0,D2,0,CHARLS,education,high
77,D1,D2,0,CHARLS,education,high
77,R1,D2,0.263397614779472,CHARLS,education,high
77,D2,D2,0.787511356739978,CHARLS,education,high
77,DEAD,D2,0,CHARLS,education,high
77,I0,DEAD,0.0222699492199618,CHARLS,education,high
77,D1,DEAD,0.0691344577046843,CHARLS,education,high
77,R1,DEAD,0.0237844463978346,CHARLS,education,high
77,D2,DEAD,0.0459488178914635,CHARLS,education,high
77,DEAD,DEAD,1,CHARLS,education,high
78,I0,I0,0.944737581922391,CHARLS,education,high
78,D1,I0,0,CHARLS,education,high
78,R1,I0,0,CHARLS,education,high
78,D2,I0,0,CHARLS,education,high
78,DEAD,I0,0,CHARLS,education,high
78,I0,D1,0.0310205207893312,CHARLS,education,high
78,D1,D1,0.773708265340144,CHARLS,education,high
78,R1,D1,0,CHARLS,education,high
78,D2,D1,0,CHARLS,education,high
78,DEAD,D1,0,CHARLS,education,high
78,I0,R1,0,CHARLS,education,high
78,D1,R1,0.149753165678246,CHARLS,education,high
78,R1,R1,0.703920586831149,CHARLS,education,high
78,D2,R1,0.157964566655328,CHARLS,education,high
78,DEAD,R1,0,CHARLS,education,high
78,I0,D2,0,CHARLS,education,high
